TaxonConcept,UUID,TaxonRank,AccordingTo,EIVEres-M,EIVEres-M.nw3,EIVEres-M.n,EIVEres-N,EIVEres-N.nw3,EIVEres-N.n,EIVEres-R,EIVEres-R.nw3,EIVEres-R.n,EIVEres-L,EIVEres-L.nw3,EIVEres-L.n,EIVEres-T,EIVEres-T.nw3,EIVEres-T.n
Geocaryum capillifolium,b12b32e0-bd3f-45d1-85ee-860453b45dc7,Species,EuroMed,2.6,3.2,2,3.5,3.5,2,4.3,4.1,2,5.5,6.7,2,4.1,4.5,2
Geocaryum creticum,8158eef4-6a7f-4a2e-aa9a-bb85047dc373,Species,EuroMed,3.7,4.1,1,3.6,2.3,1,7.0,2.7,1,8.6,2.3,1,5.4,2.1,1
Geocaryum cynapioides,4b5f8698-1bba-45a2-baf8-3381ed0c197a,Species,EuroMed,3.4,2.5,1,4.2,2.9,1,7.6,2.8,1,4.7,2.8,1,6.4,2.6,1
Geocaryum macrocarpum,2c2a11a1-57b8-4646-9caa-9dc01876846c,Species,EuroMed,2.8,4.1,1,2.5,2.3,1,5.7,1.4,1,2.8,2.3,1,6.9,2.1,1
Geranium ?magnificum,AHe67d40-1eb1-4ffe-8c60-b055a7da5d58,Species,additionalHybrids,4.3,2.5,1,6.0,2.9,1,6.2,2.8,1,7.4,2.8,1,4.1,2.6,1
Geranium aequale,77cbff53-5be8-44f9-9455-2abe34f990a9,Species,EuroMed,4.0,1.8,1,4.9,2.4,1,5.4,2.2,1,7.6,2.2,1,5.8,2.3,1
Geranium argenteum,9e88dd82-ba84-4c8d-805f-5dc1a4e503ef,Species,EuroMed,3.3,3.2,2,2.2,3.1,2,7.6,4.4,2,9.6,2.6,2,1.4,3.4,2
Geranium asphodeloides,b77aaf61-817c-4524-8d8c-dbb1e2c01934,Species,EuroMed,3.5,4.2,5,3.9,6.4,4,6.6,4.9,5,6.5,5.8,4,4.8,5.4,5
Geranium austroapenninum,59a93274-c99f-45e1-9d45-6f9f3930f3f5,Species,EuroMed,1.8,2.5,1,1.8,2.9,1,7.6,2.8,1,9.4,2.8,1,2.8,2.6,1
Geranium bohemicum,c531a0b9-d16a-4c9c-aea9-9efda00fbe44,Species,EuroMed,3.6,3.0,9,7.0,7.6,7,6.1,5.3,8,5.7,7.9,7,3.4,4.7,8
Geranium caeruleatum,dd32576a-abfc-4882-bb94-d2be26033d9b,Species,EuroMed,5.2,2.0,1,,,,6.4,2.0,1,,,,3.2,2.3,1
Geranium cinereum,e7f88f1a-d1fb-4857-b658-ace1dc218a4e,Species,EuroMed,4.2,2.5,1,1.5,2.9,1,1.5,2.8,1,7.0,2.8,1,1.3,2.6,1
Geranium collinum,4ad6abf8-7613-465c-9206-4a293db2ce09,Species,EuroMed,4.9,6.7,5,4.6,10.0,2,6.2,2.8,3,6.9,5.6,3,4.2,4.6,4
Geranium columbinum,b5435c16-343b-47d2-a4b1-0b9a24a13fd1,Species,EuroMed,3.3,3.4,20,5.2,5.7,17,6.8,3.5,19,7.4,4.6,16,4.9,4.3,18
Geranium dissectum,9486e82c-a58d-48a3-b614-256213574192,Species,EuroMed,4.2,3.3,21,5.4,4.4,19,6.8,4.4,19,6.9,4.4,18,4.7,4.6,19
Geranium divaricatum,7d20a990-5ace-4a30-b84f-41bedaf1529e,Species,EuroMed,3.6,2.9,12,5.9,5.0,10,6.2,5.0,11,6.5,5.1,8,4.4,4.3,11
Geranium endressii,d9d5dd00-ce14-4404-8ef0-bb9131894c18,Species,EuroMed,5.0,3.1,3,6.3,4.5,3,7.3,2.7,3,5.6,2.5,3,3.1,5.9,2
Geranium gymnocaulon,9e97a71d-4254-4cca-b81b-4dd77b5de02b,Species,EuroMed,4.4,2.5,1,3.3,2.9,1,5.7,2.8,1,7.5,2.8,1,2.5,2.6,1
Geranium ibericum,cf54fac2-647a-4f7f-a23f-08cb16c3c9f2,Species,EuroMed,4.4,2.5,1,3.3,2.9,1,5.7,2.8,1,7.5,2.8,1,2.5,2.6,1
Geranium lanuginosum,315ef15a-01f3-42af-b6b9-fed81307fb0e,Species,EuroMed,3.9,3.4,2,5.1,3.3,2,6.3,4.9,2,6.0,3.0,2,4.1,5.3,2
Geranium lucidum,2980bb78-2833-4928-b231-a8f81aa2ba85,Species,EuroMed,4.4,3.8,19,6.9,5.2,16,6.8,4.1,18,4.8,5.4,15,5.2,4.4,17
Geranium macrorrhizum,9dd1c468-8cf8-4295-ba45-65755d0756b5,Species,EuroMed,3.7,4.6,5,4.9,6.6,4,7.8,4.1,5,6.0,4.8,4,4.5,4.6,5
Geranium molle,b595b62b-6bf1-4048-a21b-77085304b5de,Species,EuroMed,3.6,4.4,20,5.0,4.8,18,5.8,4.5,18,7.3,5.0,17,4.9,3.5,18
Geranium molle aggr.,AG1a7df4-9fc4-4734-a8a1-c6e7f68d0902,Species Aggregate,additionalAggregates,3.6,3.8,19,4.9,4.3,17,5.7,6.0,17,7.2,3.6,16,4.7,5.3,17
Geranium nodosum,eb002696-df97-4928-a6a8-275ca6ae6c77,Species,EuroMed,4.7,2.4,6,5.6,3.7,5,6.3,3.6,4,3.7,3.4,5,4.7,6.4,5
Geranium palustre,9ab8ce74-3fce-4f09-87c6-f1ed44f3d309,Species,EuroMed,6.1,3.0,21,7.3,5.0,16,7.2,4.4,18,6.9,5.1,15,3.8,3.9,17
Geranium phaeum,dc1e55ff-a103-4a41-92eb-4815e81f5b9b,Species,EuroMed,5.0,3.0,20,6.8,4.8,14,6.2,3.7,17,5.1,4.4,15,3.7,4.8,16
Geranium platypetalum,318eb680-c5d2-4330-a17e-1a66e75de700,Species,EuroMed,3.1,2.5,1,3.3,2.9,1,5.7,2.8,1,7.5,2.8,1,2.5,2.6,1
Geranium pratense,f59c0e10-6e99-44c2-87c5-acf7e5883388,Species,EuroMed,4.7,3.0,23,6.6,5.6,18,7.3,4.8,20,7.5,4.0,17,3.9,3.7,18
Geranium pseudosibiricum,54ade91b-a531-4c1f-b0b6-0a0b9f12fdce,Species,EuroMed,4.4,3.0,2,,,,,,,7.8,2.8,1,3.4,2.4,1
